GEO_ID,GeographicAreaName, Total
1600000US0179032,"Vinegar Bend, AL",178
1600000US0179272,"Vredenburgh town, AL",222
1600000US0179344,"Wadley town, AL",659
1600000US0179488,"Waldo town, AL",258
1600000US0179728,"Walnut Grove town, AL",773
1600000US0179944,"Warrior, AL",3224
1600000US0180064,"Waterloo town, AL",178
1600000US0180256,"Waverly town, AL",159
1600000US0180352,"Weaver, AL",3339
1600000US0180376,"Webb town, AL",1270
1600000US0180496,"Wedowee town, AL",737
1600000US0180736,"Weogufka, AL",207
1600000US0180928,"West Blocton town, AL",1217
1600000US0181084,"West End-Cobb Town, AL",3128
1600000US0181336,"West Jefferson town, AL",417
1600000US0181504,"Westover town, AL",1766
1600000US0181528,"West Point town, AL",584
1600000US0181720,"Wetumpka, AL",7220
1600000US0181744,"Whatley, AL",167
1600000US0181912,"White Hall town, AL",806
1600000US0182104,"White Plains, AL",877
1600000US0182176,"Whitesboro, AL",2113
1600000US0182848,"Wilsonville town, AL",1857
1600000US0182872,"Wilton town, AL",587
1600000US0182992,"Winfield, AL",4845
1600000US0183400,"Woodland town, AL",221
1600000US0183640,"Woodstock town, AL",1472
1600000US0183664,"Woodville town, AL",746
1600000US0183976,"Yellow Bluff town, AL",208
1600000US0184096,"York, AL",2414
1600000US0200065,"Adak, Alaska",171
1600000US0200650,"Akhiok, Alaska",63
1600000US0200760,"Akiachak, Alaska",677
1600000US0200870,"Akiak, Alaska",462
1600000US0201090,"Akutan, Alaska",1589
1600000US0201200,"Alakanuk, Alaska",756
1600000US0201305,"Alatna, Alaska",15
1600000US0201390,"Alcan Border, Alaska",36
1600000US0201420,"Aleknagik, Alaska",211
1600000US0201560,"Aleneva, Alaska",5
1600000US0201860,"Allakaket, Alaska",177
1600000US0201970,"Ambler, Alaska",274
1600000US0202080,"Anaktuvuk Pass, Alaska",425
1600000US0203000,"Anchorage municipality, Alaska",291247
1600000US0203110,"Anchor Point, Alaska",2105
1600000US0203220,"Anderson, Alaska",177
1600000US0203440,"Angoon, Alaska",357
1600000US0203550,"Aniak, Alaska",507
1600000US0203880,"Anvik, Alaska",70
1600000US0203990,"Arctic Village, Alaska",151
1600000US0204210,"Atka, Alaska",53
1600000US0204430,"Atmautluak, Alaska",386
1600000US0204500,"Atqasuk, Alaska",276
1600000US0204670,"Attu Station, Alaska",0
1600000US0205000,"Badger, Alaska",19031
1600000US0205585,"Bear Creek, Alaska",2129
1600000US0205750,"Beaver, Alaska",48
1600000US0206245,"Beluga, Alaska",34
1600000US0206520,"Bethel, Alaska",6325
1600000US0206630,"Bettles, Alaska",23
1600000US0206850,"Big Delta, Alaska",444
1600000US0207070,"Big Lake, Alaska",3833
1600000US0207620,"Birch Creek, Alaska",35
1600000US0208740,"Brevig Mission, Alaska",428
1600000US0209600,"Buckland, Alaska",550
1600000US0209657,"Buffalo Soapstone, Alaska",1021
