Region,Total,TotalUnder5years,Total5to9years,Total10to14years,Total15to19years,Total20to24years,Total25to29years,Total30to34years,Total35to39years,Total40to44years,Total45to49years,Total50to54years,Total55to59years,Total60to64years,Total65to69years,Total70to74years,Total75to79years,Total80to84years,Total85yearsandover,TotalAdults,TotalMedianage,TotalSexratio,TotalAgedependencyratio,TotalOldAgedependencyratio,TotalChilddependencyratio,MaleTotalpopulation,MaleUnder5years,Male5to9years,Male10to14years,Male15to19years,Male20to24years,Male25to29years,Male30to34years,Male35to39years,Male40to44years,Male45to49years,Male50to54years,Male55to59years,Male60to64years,Male65to69years,Male70to74years,Male75to79years,Male80to84years,Male85yearsandover,MaleAdults,MaleMedianage,MaleSexratio,MaleAgedependencyratio,MaleOldAgedependencyratio,MaleChilddependencyratio,PercentMaleTotal,PercentMaleUnder5years,PercentMale5to9years,PercentMale10to14years,PercentMale15to19years,PercentMale20to24years,PercentMale25to29years,PercentMale30to34years,PercentMale35to39years,PercentMale40to44years,PercentMale45to49years,PercentMale50to54years,PercentMale55to59years,PercentMale60to64years,PercentMale65to69years,PercentMale70to74years,PercentMale75to79years,PercentMale80to84years,PercentMale85yearsandover,PercentMaleAdults,PercentMaleMedianage,PercentMaleSexratio,PercentMaleAgedependencyratio,PercentMaleOldAgedependencyratio,PercentMaleChilddependencyratio,FemaleTotal,FemaleUnder5years,Female5to9years,Female10to14years,Female15to19years,Female20to24years,Female25to29years,Female30to34years,Female35to39years,Female40to44years,Female45to49years,Female50to54years,Female55to59years,Female60to64years,Female65to69years,Female70to74years,Female75to79years,Female80to84years,Female85yearsandover,FemaleAdults,FemaleMedianage,FemaleSexratio,FemaleAgedependencyratio,FemaleOldAgedependencyratio,FemaleChilddependencyratio,PercentFemaleTotal,PercentFemaleUnder5years,PercentFemale5to9years,PercentFemale10to14years,PercentFemale15to19years,PercentFemale20to24years,PercentFemale25to29years,PercentFemale30to34years,PercentFemale35to39years,PercentFemale40to44years,PercentFemale45to49years,PercentFemale50to54years,PercentFemale55to59years,PercentFemale60to64years,PercentFemale65to69years,PercentFemale70to74years,PercentFemale75to79years,PercentFemale80to84years,PercentFemale85yearsandover,PercentFemaleAdults,PercentFemaleMedianage,PercentFemaleSexratio,PercentFemaleAgedependencyratio,PercentFemaleOldAgedependencyratio,PercentFemaleChilddependencyratio
"Greenwood, MS",38736,2776,2569,2914,3011,2255,2782,2291,2513,1836,2191,2212,2473,2476,2020,1683,1085,683,966,28885,36,93.4,72.6,28.7,43.9,18707,1655,1397,1428,1767,870,1478,1037,1096,860,1003,1071,906,1361,864,810,488,251,365,13371,34.2,,,,,,8.8,7.5,7.6,9.4,4.7,7.9,5.5,5.9,4.6,5.4,5.7,4.8,7.3,4.6,4.3,2.6,1.3,2,71.5,,,,,,20029,1121,1172,1486,1244,1385,1304,1254,1417,976,1188,1141,1567,1115,1156,873,597,432,601,15514,38.3,,,,,,5.6,5.9,7.4,6.2,6.9,6.5,6.3,7.1,4.9,5.9,5.7,7.8,5.6,5.8,4.4,3,2.2,3,77.5,,,,,
"Greenwood, SC",70672,4241,4741,4245,4767,4605,4620,4178,4154,4147,4344,4466,4640,4371,4119,3211,2534,1649,1640,54677,39.8,87.1,70.2,31.7,38.5,32904,2078,2321,2284,2225,2196,2073,1915,1858,2058,2011,2119,1976,2226,1961,1377,1103,622,501,24840,38,,,,,,6.3,7.1,6.9,6.8,6.7,6.3,5.8,5.6,6.3,6.1,6.4,6,6.8,6,4.2,3.4,1.9,1.5,75.5,,,,,,37768,2163,2420,1961,2542,2409,2547,2263,2296,2089,2333,2347,2664,2145,2158,1834,1431,1027,1139,29837,40.9,,,,,,5.7,6.4,5.2,6.7,6.4,6.7,6,6.1,5.5,6.2,6.2,7.1,5.7,5.7,4.9,3.8,2.7,3,79,,,,,
"Grenada, MS",20927,1325,1429,1453,1189,1079,1688,1164,1235,1218,1256,1367,1622,1205,1176,1050,584,397,490,15929,39.7,95.7,71.1,30.2,40.9,10235,834,690,773,706,434,949,527,599,590,549,656,756,587,447,584,272,134,148,7422,37.6,,,,,,8.1,6.7,7.6,6.9,4.2,9.3,5.1,5.9,5.8,5.4,6.4,7.4,5.7,4.4,5.7,2.7,1.3,1.4,72.5,,,,,,10692,491,739,680,483,645,739,637,636,628,707,711,866,618,729,466,312,263,342,8507,42.7,,,,,,4.6,6.9,6.4,4.5,6,6.9,6,5.9,5.9,6.6,6.6,8.1,5.8,6.8,4.4,2.9,2.5,3.2,79.6,,,,,
"Guayama, PR",74291,2889,3956,4680,5041,5150,5298,4494,4309,4742,4778,4801,5151,4565,4376,3934,2324,2281,1522,59788,41.4,94.9,63.8,31.8,32,36164,1578,2173,2185,2651,2733,2898,2249,2096,2153,2275,2230,2473,2041,2160,1658,910,1134,567,28704,38.7,,,,,,4.4,6,6,7.3,7.6,8,6.2,5.8,6,6.3,6.2,6.8,5.6,6,4.6,2.5,3.1,1.6,79.4,,,,,,38127,1311,1783,2495,2390,2417,2400,2245,2213,2589,2503,2571,2678,2524,2216,2276,1414,1147,955,31084,43.7,,,,,,3.4,4.7,6.5,6.3,6.3,6.3,5.9,5.8,6.8,6.6,6.7,7,6.6,5.8,6,3.7,3,2.5,81.5,,,,,
"Gulfport-Biloxi, MS",414662,25334,25706,28518,26845,26548,28346,26560,28613,23875,25946,26813,28551,26536,21227,19061,12048,7193,6942,318471,38.2,96.7,64.5,26.4,38.2,203806,13168,12995,15036,14268,14002,13991,12711,13845,11385,12543,13161,13701,12619,10150,8674,5692,3173,2692,153934,37,,,,,,6.5,6.4,7.4,7,6.9,6.9,6.2,6.8,5.6,6.2,6.5,6.7,6.2,5,4.3,2.8,1.6,1.3,75.5,,,,,,210856,12166,12711,13482,12577,12546,14355,13849,14768,12490,13403,13652,14850,13917,11077,10387,6356,4020,4250,164537,39.6,,,,,,5.8,6,6.4,6,6,6.8,6.6,7,5.9,6.4,6.5,7,6.6,5.3,4.9,3,1.9,2,78,,,,,
"Guymon, OK",20633,1798,1498,1822,1597,1544,1436,1505,1397,884,1383,1127,1323,1026,769,701,339,149,335,14611,31.2,113.6,67.5,18.6,48.9,10974,930,725,791,944,854,873,862,673,507,758,618,819,513,371,361,161,77,137,8050,30.9,,,,,,8.5,6.6,7.2,8.6,7.8,8,7.9,6.1,4.6,6.9,5.6,7.5,4.7,3.4,3.3,1.5,0.7,1.2,73.4,,,,,,9659,868,773,1031,653,690,563,643,724,377,625,509,504,513,398,340,178,72,198,6561,32,,,,,,9,8,10.7,6.8,7.1,5.8,6.7,7.5,3.9,6.5,5.3,5.2,5.3,4.1,3.5,1.8,0.7,2,67.9,,,,,
"Hagerstown-Martinsburg, MD-WV",285990,16670,16921,18671,16970,16412,19421,18487,18279,18162,19524,20288,20443,18338,15923,12378,8837,5273,4993,222567,40.4,100.7,63.3,27.1,36.2,143476,8486,8604,9485,8699,8592,10246,9596,9481,9241,10122,10186,9919,9300,7310,6114,4074,2249,1772,111423,39.3,,,,,,5.9,6,6.6,6.1,6,7.1,6.7,6.6,6.4,7.1,7.1,6.9,6.5,5.1,4.3,2.8,1.6,1.2,77.7,,,,,,142514,8184,8317,9186,8271,7820,9175,8891,8798,8921,9402,10102,10524,9038,8613,6264,4763,3024,3221,111144,41.6,,,,,,5.7,5.8,6.4,5.8,5.5,6.4,6.2,6.2,6.3,6.6,7.1,7.4,6.3,6,4.4,3.3,2.1,2.3,78,,,,,
"Hailey, ID",23798,1171,1514,1473,1606,1013,1213,1308,1420,1624,1592,1398,2336,1719,1451,1349,792,356,463,18646,43.8,102.9,67.2,31,36.2,12069,606,609,935,983,607,644,572,768,789,841,692,973,858,697,673,372,196,254,9250,40.9,,,,,,5,5,7.7,8.1,5,5.3,4.7,6.4,6.5,7,5.7,8.1,7.1,5.8,5.6,3.1,1.6,2.1,76.6,,,,,,11729,565,905,538,623,406,569,736,652,835,751,706,1363,861,754,676,420,160,209,9396,45.1,,,,,,4.8,7.7,4.6,5.3,3.5,4.9,6.3,5.6,7.1,6.4,6,11.6,7.3,6.4,5.8,3.6,1.4,1.8,80.1,,,,,
"Hammond, LA",133753,9612,8838,9195,9245,9502,10205,9286,8872,7994,7274,7826,7964,8541,6818,5411,3369,1889,1912,100974,35.5,93.7,64,23.8,40.2,64718,4731,4303,4873,4579,4754,4914,4657,4316,3956,3510,3661,3908,3863,2921,2908,1706,630,528,48151,34.6,,,,,,7.3,6.6,7.5,7.1,7.3,7.6,7.2,6.7,6.1,5.4,5.7,6,6,4.5,4.5,2.6,1,0.8,74.4,,,,,,69035,4881,4535,4322,4666,4748,5291,4629,4556,4038,3764,4165,4056,4678,3897,2503,1663,1259,1384,52823,36.1,,,,,,7.1,6.6,6.3,6.8,6.9,7.7,6.7,6.6,5.8,5.5,6,5.9,6.8,5.6,3.6,2.4,1.8,2,76.5,,,,,
"Hanford-Corcoran, CA",151090,11461,10646,12534,10331,12572,13278,12210,11057,9775,8953,8418,7956,6335,5008,4065,2964,1792,1735,110167,32,122.6,59.7,16.5,43.3,83210,5921,5372,6350,5408,7456,7921,7250,6819,5706,5396,4742,4197,3445,2678,1780,1202,902,665,62347,32.2,,,,,,7.1,6.5,7.6,6.5,9,9.5,8.7,8.2,6.9,6.5,5.7,5,4.1,3.2,2.1,1.4,1.1,0.8,74.9,,,,,,67880,5540,5274,6184,4923,5116,5357,4960,4238,4069,3557,3676,3759,2890,2330,2285,1762,890,1070,47820,31.5,,,,,,8.2,7.8,9.1,7.3,7.5,7.9,7.3,6.2,6,5.2,5.4,5.5,4.3,3.4,3.4,2.6,1.3,1.6,70.4,,,,,
"Hannibal, MO",38830,2370,2396,2624,2561,2284,2280,2178,2357,2221,2357,2453,2752,2776,2559,1533,1272,869,988,29887,40.6,95.5,71.3,31.9,39.5,18966,1219,1171,1269,1366,1141,1069,1055,1255,1037,1199,1189,1302,1405,1316,661,509,387,416,14480,39.6,,,,,,6.4,6.2,6.7,7.2,6,5.6,5.6,6.6,5.5,6.3,6.3,6.9,7.4,6.9,3.5,2.7,2,2.2,76.3,,,,,,19864,1151,1225,1355,1195,1143,1211,1123,1102,1184,1158,1264,1450,1371,1243,872,763,482,572,15407,41.3,,,,,,5.8,6.2,6.8,6,5.8,6.1,5.7,5.5,6,5.8,6.4,7.3,6.9,6.3,4.4,3.8,2.4,2.9,77.6,,,,,
"Harrisburg-Carlisle, PA",574691,33308,33971,34892,35626,34915,38648,38109,35126,33889,37226,37838,40887,38355,34150,25022,17253,11423,14053,451442,40.4,96.6,64.4,29.2,35.3,282444,17200,17132,18013,18164,17716,19695,19538,17393,17093,18852,18725,20389,17801,16366,11351,7753,4605,4658,219189,38.8,,,,,,6.1,6.1,6.4,6.4,6.3,7,6.9,6.2,6.1,6.7,6.6,7.2,6.3,5.8,4,2.7,1.6,1.6,77.6,,,,,,292247,16108,16839,16879,17462,17199,18953,18571,17733,16796,18374,19113,20498,20554,17784,13671,9500,6818,9395,232253,41.8,,,,,,5.5,5.8,5.8,6,5.9,6.5,6.4,6.1,5.7,6.3,6.5,7,7,6.1,4.7,3.3,2.3,3.2,79.5,,,,,
"Harrison, AR",45278,2554,2766,2919,2654,2481,2731,2400,2494,2403,2677,3066,3078,3142,3005,2744,1840,1031,1293,35224,43.8,97.3,78.9,39.2,39.7,22335,1329,1454,1505,1376,1292,1399,1171,1500,945,1308,1507,1713,1346,1330,1377,788,467,528,17131,41,,,,,,6,6.5,6.7,6.2,5.8,6.3,5.2,6.7,4.2,5.9,6.7,7.7,6,6,6.2,3.5,2.1,2.4,76.7,,,,,,22943,1225,1312,1414,1278,1189,1332,1229,994,1458,1369,1559,1365,1796,1675,1367,1052,564,765,18093,45.4,,,,,,5.3,5.7,6.2,5.6,5.2,5.8,5.4,4.3,6.4,6,6.8,5.9,7.8,7.3,6,4.6,2.5,3.3,78.9,,,,,
"Harrisonburg, VA",134696,7213,7405,7601,14092,15189,8727,8220,8033,6997,7610,7595,8617,7172,6330,4793,4072,2283,2747,107949,34.3,95.3,53.5,23.1,30.5,65726,3743,3648,4136,6611,7029,4431,4154,3933,3567,4028,3746,4164,3483,2904,2366,1816,1065,902,51828,33.8,,,,,,5.7,5.6,6.3,10.1,10.7,6.7,6.3,6,5.4,6.1,5.7,6.3,5.3,4.4,3.6,2.8,1.6,1.4,78.9,,,,,,68970,3470,3757,3465,7481,8160,4296,4066,4100,3430,3582,3849,4453,3689,3426,2427,2256,1218,1845,56121,34.7,,,,,,5,5.4,5,10.8,11.8,6.2,5.9,5.9,5,5.2,5.6,6.5,5.3,5,3.5,3.3,1.8,2.7,81.4,,,,,
"Hartford-East Hartford-Middletown, CT",1205842,60594,63157,72722,82300,86628,76385,76673,72759,71489,77048,85554,88723,81997,66733,50662,34739,25413,32266,963481,40.8,95.3,60,27.8,32.2,588448,31188,32412,36515,42260,44303,39712,38807,36051,35297,37238,41515,43777,38523,31587,22661,15107,10567,10928,464718,38.9,,,,,,5.3,5.5,6.2,7.2,7.5,6.7,6.6,6.1,6,6.3,7.1,7.4,6.5,5.4,3.9,2.6,1.8,1.9,79,,,,,,617394,29406,30745,36207,40040,42325,36673,37866,36708,36192,39810,44039,44946,43474,35146,28001,19632,14846,21338,498763,42.5,,,,,,4.8,5,5.9,6.5,6.9,5.9,6.1,5.9,5.9,6.4,7.1,7.3,7,5.7,4.5,3.2,2.4,3.5,80.8,,,,,
"Hastings, NE",31541,2036,2150,2066,2561,2329,1813,1845,1712,1663,1739,1778,1998,2231,1738,1362,1062,563,895,24004,38,99.5,71.6,30.6,41,15734,1075,1171,990,1322,1191,902,912,873,854,936,874,1097,1040,914,562,509,193,319,11876,37,,,,,,6.8,7.4,6.3,8.4,7.6,5.7,5.8,5.5,5.4,5.9,5.6,7,6.6,5.8,3.6,3.2,1.2,2,75.5,,,,,,15807,961,979,1076,1239,1138,911,933,839,809,803,904,901,1191,824,800,553,370,576,12128,39.1,,,,,,6.1,6.2,6.8,7.8,7.2,5.8,5.9,5.3,5.1,5.1,5.7,5.7,7.5,5.2,5.1,3.5,2.3,3.6,76.7,,,,,
"Hattiesburg, MS",168646,10932,10309,12571,11241,14233,12659,11179,11486,10286,9803,9950,9521,10315,7928,6032,4568,2765,2868,128368,35.5,91.6,61.8,23.2,38.7,80628,5540,5272,6408,5567,6824,6001,5309,5570,4731,4673,4914,4085,5213,3697,2571,2111,1035,1107,60106,34.3,,,,,,6.9,6.5,7.9,6.9,8.5,7.4,6.6,6.9,5.9,5.8,6.1,5.1,6.5,4.6,3.2,2.6,1.3,1.4,74.5,,,,,,88018,5392,5037,6163,5674,7409,6658,5870,5916,5555,5130,5036,5436,5102,4231,3461,2457,1730,1761,68262,36.6,,,,,,6.1,5.7,7,6.4,8.4,7.6,6.7,6.7,6.3,5.8,5.7,6.2,5.8,4.8,3.9,2.8,2,2,77.6,,,,,
"Hays, KS",28747,1727,1731,1877,1973,3679,2041,2018,1492,1664,1373,1394,1557,1755,1632,804,872,611,547,22555,33.2,97.5,58.9,24.7,34.2,14191,814,744,1024,974,1794,1110,1129,713,790,742,674,739,912,843,362,436,161,230,11155,32.9,,,,,,5.7,5.2,7.2,6.9,12.6,7.8,8,5,5.6,5.2,4.7,5.2,6.4,5.9,2.6,3.1,1.1,1.6,78.6,,,,,,14556,913,987,853,999,1885,931,889,779,874,631,720,818,843,789,442,436,450,317,11400,33.5,,,,,,6.3,6.8,5.9,6.9,12.9,6.4,6.1,5.4,6,4.3,4.9,5.6,5.8,5.4,3,3,3.1,2.2,78.3,,,,,
"Heber, UT",74733,4815,5515,6500,5522,4531,4072,4316,5332,4806,5384,4877,5289,4761,3823,2329,1034,1252,575,54206,37.3,104.5,65.4,19.9,45.4,38191,2639,2674,3483,2809,2400,2151,2220,2606,2436,2790,2393,2431,2566,1929,1237,445,760,222,27521,36.9,,,,,,6.9,7,9.1,7.4,6.3,5.6,5.8,6.8,6.4,7.3,6.3,6.4,6.7,5.1,3.2,1.2,2,0.6,72.1,,,,,,36542,2176,2841,3017,2713,2131,1921,2096,2726,2370,2594,2484,2858,2195,1894,1092,589,492,353,26685,37.6,,,,,,6,7.8,8.3,7.4,5.8,5.3,5.7,7.5,6.5,7.1,6.8,7.8,6,5.2,3,1.6,1.3,1,73,,,,,
"Helena, MT",80783,4588,4738,4930,4862,4531,4499,4905,5329,4440,4778,5191,6465,6174,5685,4112,2723,1453,1380,63497,42.3,98.8,67.8,31.9,35.9,40154,2418,2341,2538,2495,2269,2329,2382,2679,2281,2340,2577,3130,2996,2796,2115,1214,783,471,31312,41.2,,,,,,6,5.8,6.3,6.2,5.7,5.8,5.9,6.7,5.7,5.8,6.4,7.8,7.5,7,5.3,3,1.9,1.2,78,,,,,,40629,2170,2397,2392,2367,2262,2170,2523,2650,2159,2438,2614,3335,3178,2889,1997,1509,670,909,32185,43.5,,,,,,5.3,5.9,5.9,5.8,5.6,5.3,6.2,6.5,5.3,6,6.4,8.2,7.8,7.1,4.9,3.7,1.6,2.2,79.2,,,,,
"Helena-West Helena, AR",18151,1336,1093,1422,1122,1238,1099,892,1066,850,954,1088,1275,1307,1070,931,529,432,447,13495,39.5,88.6,80,33.8,46.2,8528,715,682,606,552,559,528,406,527,375,460,500,623,513,571,354,288,133,136,6140,38.2,,,,,,8.4,8,7.1,6.5,6.6,6.2,4.8,6.2,4.4,5.4,5.9,7.3,6,6.7,4.2,3.4,1.6,1.6,72,,,,,,9623,621,411,816,570,679,571,486,539,475,494,588,652,794,499,577,241,299,311,7355,41.8,,,,,,6.5,4.3,8.5,5.9,7.1,5.9,5.1,5.6,4.9,5.1,6.1,6.8,8.3,5.2,6,2.5,3.1,3.2,76.4,,,,,
"Henderson, NC",44614,2793,2245,3690,2871,2839,2962,2374,2287,2464,2873,2965,3039,3072,2747,2112,1557,870,854,34036,40.6,87.2,72.3,31.4,40.8,20783,1443,849,2179,1454,1387,1407,1104,1097,995,1385,1347,1314,1410,1318,880,649,368,197,15433,37.7,,,,,,6.9,4.1,10.5,7,6.7,6.8,5.3,5.3,4.8,6.7,6.5,6.3,6.8,6.3,4.2,3.1,1.8,0.9,74.3,,,,,,23831,1350,1396,1511,1417,1452,1555,1270,1190,1469,1488,1618,1725,1662,1429,1232,908,502,657,18603,42.5,,,,,,5.7,5.9,6.3,5.9,6.1,6.5,5.3,5,6.2,6.2,6.8,7.2,7,6,5.2,3.8,2.1,2.8,78.1,,,,,
"Hereford, TX",18617,1625,1727,1541,1508,1260,1308,1217,1129,1005,974,979,999,950,720,628,423,309,315,12819,31.8,100.3,78.6,23,55.6,9322,882,969,665,779,672,668,597,606,489,492,484,539,394,343,298,158,157,130,6328,30.3,,,,,,9.5,10.4,7.1,8.4,7.2,7.2,6.4,6.5,5.2,5.3,5.2,5.8,4.2,3.7,3.2,1.7,1.7,1.4,67.9,,,,,,9295,743,758,876,729,588,640,620,523,516,482,495,460,556,377,330,265,152,185,6491,32.7,,,,,,8,8.2,9.4,7.8,6.3,6.9,6.7,5.6,5.6,5.2,5.3,4.9,6,4.1,3.6,2.9,1.6,2,69.8,,,,,
"Hermiston-Pendleton, OR",88744,5962,6156,6712,6152,5672,6360,5754,5405,5770,5248,5101,5697,5009,4470,3684,2509,1466,1617,66037,36.9,107.3,69.7,26.3,43.4,45942,2942,2990,3540,3191,3193,3657,3103,2808,3156,2676,2636,2774,2783,2079,1907,1126,725,656,34557,35.8,,,,,,6.4,6.5,7.7,6.9,7,8,6.8,6.1,6.9,5.8,5.7,6,6.1,4.5,4.2,2.5,1.6,1.4,75.2,,,,,,42802,3020,3166,3172,2961,2479,2703,2651,2597,2614,2572,2465,2923,2226,2391,1777,1383,741,961,31480,38.1,,,,,,7.1,7.4,7.4,6.9,5.8,6.3,6.2,6.1,6.1,6,5.8,6.8,5.2,5.6,4.2,3.2,1.7,2.2,73.5,,,,,
"Hickory-Lenoir-Morganton, NC",367982,19109,19458,23248,23048,21043,22872,20492,21405,21222,26019,26619,28164,24917,22611,18946,12855,8044,7910,291865,43.2,97.8,66.1,31.8,34.4,181991,9708,9257,12595,12105,11371,11542,10247,10255,11098,13170,13267,13812,12201,10830,8686,5632,3450,2765,143146,42,,,,,,5.3,5.1,6.9,6.7,6.2,6.3,5.6,5.6,6.1,7.2,7.3,7.6,6.7,6,4.8,3.1,1.9,1.5,78.7,,,,,,185991,9401,10201,10653,10943,9672,11330,10245,11150,10124,12849,13352,14352,12716,11781,10260,7223,4594,5145,148719,44.7,,,,,,5.1,5.5,5.7,5.9,5.2,6.1,5.5,6,5.4,6.9,7.2,7.7,6.8,6.3,5.5,3.9,2.5,2.8,80,,,,,
"Hillsdale, MI",45707,2705,2600,2821,3194,3004,2453,2422,2564,2336,2702,2929,3397,3660,2722,2538,1662,1067,931,35756,42.1,99.5,70.3,33.2,37.1,22799,1387,1250,1510,1619,1488,1291,1248,1327,1114,1376,1503,1743,1785,1407,1147,888,443,273,17733,41.1,,,,,,6.1,5.5,6.6,7.1,6.5,5.7,5.5,5.8,4.9,6,6.6,7.6,7.8,6.2,5,3.9,1.9,1.2,77.8,,,,,,22908,1318,1350,1311,1575,1516,1162,1174,1237,1222,1326,1426,1654,1875,1315,1391,774,624,658,18023,42.8,,,,,,5.8,5.9,5.7,6.9,6.6,5.1,5.1,5.4,5.3,5.8,6.2,7.2,8.2,5.7,6.1,3.4,2.7,2.9,78.7,,,,,
"Hilo, HI",201350,11800,12472,12156,10768,10396,11667,12277,12580,11367,11444,11984,13473,16841,16005,10730,6927,3971,4492,158094,42.8,98.5,73.6,36.3,37.3,99922,6060,6590,6060,5420,5301,5886,6047,6208,5697,5649,5869,6521,8259,8051,5464,3560,1510,1770,77688,42.1,,,,,,6.1,6.6,6.1,5.4,5.3,5.9,6.1,6.2,5.7,5.7,5.9,6.5,8.3,8.1,5.5,3.6,1.5,1.8,77.7,,,,,,101428,5740,5882,6096,5348,5095,5781,6230,6372,5670,5795,6115,6952,8582,7954,5266,3367,2461,2722,80406,43.7,,,,,,5.7,5.8,6,5.3,5,5.7,6.1,6.3,5.6,5.7,6,6.9,8.5,7.8,5.2,3.3,2.4,2.7,79.3,,,,,
"Hilton Head Island-Bluffton, SC",219290,11527,10772,12372,12591,13668,13288,11800,11395,11056,11354,11856,14668,15520,17280,17428,11113,6515,5087,177975,45.5,96.8,81.9,47.6,34.3,107865,5995,5436,6364,7019,7881,6738,5904,5673,5522,5327,5701,6626,6832,7696,8222,4974,3605,2350,86729,42.2,,,,,,5.6,5,5.9,6.5,7.3,6.2,5.5,5.3,5.1,4.9,5.3,6.1,6.3,7.1,7.6,4.6,3.3,2.2,80.4,,,,,,111425,5532,5336,6008,5572,5787,6550,5896,5722,5534,6027,6155,8042,8688,9584,9206,6139,2910,2737,91246,48.2,,,,,,5,4.8,5.4,5,5.2,5.9,5.3,5.1,5,5.4,5.5,7.2,7.8,8.6,8.3,5.5,2.6,2.5,81.9,,,,,
"Hinesville, GA",81275,7722,6089,5963,5471,7826,9329,6240,5095,4512,3768,3912,4510,3481,2573,2252,1402,679,451,58504,29.3,101.8,58.9,14.4,44.5,41007,3965,2835,3269,2831,4388,5213,3170,2739,2127,1669,1878,1990,1665,1157,1115,603,240,153,29438,28.4,,,,,,9.7,6.9,8,6.9,10.7,12.7,7.7,6.7,5.2,4.1,4.6,4.9,4.1,2.8,2.7,1.5,0.6,0.4,71.8,,,,,,40268,3757,3254,2694,2640,3438,4116,3070,2356,2385,2099,2034,2520,1816,1416,1137,799,439,298,29066,30.4,,,,,,9.3,8.1,6.7,6.6,8.5,10.2,7.6,5.9,5.9,5.2,5.1,6.3,4.5,3.5,2.8,2,1.1,0.7,72.2,,,,,
"Hobbs, NM",70359,5593,5930,6278,5541,4784,5027,5194,5731,3335,3975,3712,3553,3914,2927,1638,1138,1162,927,49143,32,105.9,70.2,18.8,51.3,36194,2841,2945,3391,2977,2504,2645,2761,3021,1742,2024,1935,1804,2056,1539,641,458,496,414,25267,31.3,,,,,,7.8,8.1,9.4,8.2,6.9,7.3,7.6,8.3,4.8,5.6,5.3,5,5.7,4.3,1.8,1.3,1.4,1.1,69.8,,,,,,34165,2752,2985,2887,2564,2280,2382,2433,2710,1593,1951,1777,1749,1858,1388,997,680,666,513,23876,32.8,,,,,,8.1,8.7,8.5,7.5,6.7,7,7.1,7.9,4.7,5.7,5.2,5.1,5.4,4.1,2.9,2,1.9,1.5,69.9,,,,,
"Holland, MI",117104,7217,7589,8459,7520,6581,6974,7175,6761,7068,7415,8038,8987,7993,6501,5266,3635,1880,2045,88797,40.2,99.7,68.6,27.8,40.7,58467,3666,3739,4495,3870,3498,3507,3472,3299,3686,3781,4004,4350,4122,3157,2541,1630,724,926,44011,39.3,,,,,,6.3,6.4,7.7,6.6,6,6,5.9,5.6,6.3,6.5,6.8,7.4,7.1,5.4,4.3,2.8,1.2,1.6,75.3,,,,,,58637,3551,3850,3964,3650,3083,3467,3703,3462,3382,3634,4034,4637,3871,3344,2725,2005,1156,1119,44786,41,,,,,,6.1,6.6,6.8,6.2,5.3,5.9,6.3,5.9,5.8,6.2,6.9,7.9,6.6,5.7,4.6,3.4,2,1.9,76.4,,,,,
"Homosassa Springs, FL",147938,5263,5752,6889,6083,5686,6523,5747,5698,5877,7198,9191,11786,12407,15718,13343,11057,6840,6880,126139,56.7,94.8,104.6,74.5,30.2,71999,2704,2939,3700,3245,3002,3425,2979,2847,2764,3374,4331,5356,5702,7350,6348,5416,3383,3134,60583,55.5,,,,,,3.8,4.1,5.1,4.5,4.2,4.8,4.1,4,3.8,4.7,6,7.4,7.9,10.2,8.8,7.5,4.7,4.4,84.1,,,,,,75939,2559,2813,3189,2838,2684,3098,2768,2851,3113,3824,4860,6430,6705,8368,6995,5641,3457,3746,65556,57.5,,,,,,3.4,3.7,4.2,3.7,3.5,4.1,3.6,3.8,4.1,5,6.4,8.5,8.8,11,9.2,7.4,4.6,4.9,86.3,,,,,
"Hood River, OR",23270,1450,1383,1613,1747,1177,1453,1467,1462,1607,1592,1580,1573,1631,1358,718,573,473,413,17753,39.5,98,63.7,24.9,38.8,11519,652,675,826,772,734,690,740,593,950,776,824,807,867,708,312,239,216,138,8886,40.5,,,,,,5.7,5.9,7.2,6.7,6.4,6,6.4,5.1,8.2,6.7,7.2,7,7.5,6.1,2.7,2.1,1.9,1.2,77.1,,,,,,11751,798,708,787,975,443,763,727,869,657,816,756,766,764,650,406,334,257,275,8867,38.6,,,,,,6.8,6,6.7,8.3,3.8,6.5,6.2,7.4,5.6,6.9,6.4,6.5,6.5,5.5,3.5,2.8,2.2,2.3,75.5,,,,,
"Hope, AR",29944,1975,2059,2182,1797,1858,1491,1467,1536,1947,2189,1612,2109,2083,1822,1323,1143,636,715,22566,41.3,89.7,76.9,33.3,43.6,14163,769,1106,1042,1059,1018,553,759,756,765,1034,806,950,1023,837,617,604,233,232,10639,40.1,,,,,,5.4,7.8,7.4,7.5,7.2,3.9,5.4,5.3,5.4,7.3,5.7,6.7,7.2,5.9,4.4,4.3,1.6,1.6,75.1,,,,,,15781,1206,953,1140,738,840,938,708,780,1182,1155,806,1159,1060,985,706,539,403,483,11927,41.8,,,,,,7.6,6,7.2,4.7,5.3,5.9,4.5,4.9,7.5,7.3,5.1,7.3,6.7,6.2,4.5,3.4,2.6,3.1,75.6,,,,,
