Region,Country code,Parent code,2015,2016,2017,2018,2019,2020
Aruba,533,915,104 ,105 ,105 ,106 ,106 ,107 
Bahamas,44,915,374 ,378 ,382 ,386 ,389 ,393 
Barbados,52,915,285 ,286 ,286 ,287 ,287 ,287 
"Bonaire, Sint Eustatius and Saba",535,915,25 ,25 ,25 ,26 ,26 ,26 
British Virgin Islands,92,915,29 ,29 ,30 ,30 ,30 ,30 
Cayman Islands,136,915,62 ,63 ,63 ,64 ,65 ,66 
Cuba,192,915,11325 ,11335 ,11339 ,11338 ,11333 ,11327 
Curaçao,531,915,160 ,161 ,162 ,163 ,163 ,164 
Dominica,212,915,71 ,71 ,71 ,72 ,72 ,72 
Dominican Republic,214,915,10282 ,10398 ,10513 ,10627 ,10739 ,10848 
Grenada,308,915,110 ,110 ,111 ,111 ,112 ,113 
Guadeloupe,312,915,400 ,400 ,400 ,400 ,400 ,400 
Haiti,332,915,10696 ,10840 ,10982 ,11123 ,11263 ,11403 
Jamaica,388,915,2891 ,2906 ,2921 ,2935 ,2948 ,2961 
Martinique,474,915,378 ,377 ,376 ,376 ,376 ,375 
Montserrat,500,915,5 ,5 ,5 ,5 ,5 ,5 
Puerto Rico,630,915,3382 ,3283 ,3164 ,3040 ,2933 ,2861 
Saint Barthélemy,652,915,10 ,10 ,10 ,10 ,10 ,10 
Saint Kitts and Nevis,659,915,51 ,52 ,52 ,52 ,53 ,53 
Saint Lucia,662,915,179 ,180 ,181 ,182 ,183 ,184 
Saint Martin (French part),663,915,36 ,36 ,37 ,37 ,38 ,39 
Saint Vincent and the Grenadines,670,915,109 ,109 ,110 ,110 ,111 ,111 
Sint Maarten (Dutch part),534,915,40 ,41 ,41 ,42 ,42 ,43 
Trinidad and Tobago,780,915,1370 ,1378 ,1384 ,1390 ,1395 ,1399 
Turks and Caicos Islands,796,915,36 ,37 ,37 ,38 ,38 ,39 
United States Virgin Islands,850,915,105 ,105 ,105 ,105 ,105 ,104 
Belize,84,916,361 ,368 ,376 ,383 ,390 ,398 
Costa Rica,188,916,4848 ,4899 ,4950 ,4999 ,5048 ,5094 
El Salvador,222,916,6325 ,6356 ,6388 ,6421 ,6454 ,6486 
Guatemala,320,916,16252 ,16583 ,16915 ,17248 ,17581 ,17916 
Honduras,340,916,9113 ,9271 ,9429 ,9588 ,9746 ,9905 
Mexico,484,916,121858 ,123333 ,124777 ,126191 ,127576 ,128933 
Nicaragua,558,916,6223 ,6304 ,6385 ,6466 ,6546 ,6625 
Panama,591,916,3968 ,4037 ,4107 ,4177 ,4246 ,4315 
Argentina,32,931,43075 ,43508 ,43937 ,44361 ,44781 ,45196 
Bolivia (Plurinational State of),68,931,10870 ,11032 ,11193 ,11353 ,11513 ,11673 
Brazil,76,931,204472 ,206163 ,207834 ,209469 ,211050 ,212559 
Chile,152,931,17969 ,18209 ,18470 ,18729 ,18952 ,19116 
Colombia,170,931,47521 ,48175 ,48910 ,49661 ,50339 ,50883 
Ecuador,218,931,16212 ,16491 ,16785 ,17084 ,17374 ,17643 
Falkland Islands (Malvinas),238,931,3 ,3 ,3 ,3 ,3 ,3 
French Guiana,254,931,261 ,268 ,275 ,283 ,291 ,299 
Guyana,328,931,767 ,771 ,775 ,779 ,783 ,787 
Paraguay,600,931,6689 ,6778 ,6867 ,6956 ,7045 ,7133 
Peru,604,931,30471 ,30926 ,31444 ,31989 ,32510 ,32972 
Suriname,740,931,559 ,565 ,571 ,576 ,581 ,587 
Uruguay,858,931,3412 ,3424 ,3437 ,3449 ,3462 ,3474 
Venezuela (Bolivarian Republic of),862,931,30082 ,29851 ,29402 ,28887 ,28516 ,28436 
Australia,36,927,23932 ,24263 ,24585 ,24898 ,25203 ,25500 
New Zealand,554,927,4615 ,4659 ,4702 ,4743 ,4783 ,4822 
Fiji,242,928,869 ,872 ,877 ,883 ,890 ,896 
New Caledonia,540,928,271 ,274 ,277 ,280 ,283 ,285 
Papua New Guinea,598,928,8108 ,8272 ,8438 ,8606 ,8776 ,8947 
Solomon Islands,90,928,603 ,619 ,636 ,653 ,670 ,687 
Vanuatu,548,928,271 ,278 ,285 ,293 ,300 ,307 
Guam,316,954,162 ,163 ,164 ,166 ,167 ,169 
Kiribati,296,954,111 ,113 ,114 ,116 ,118 ,119 
Marshall Islands,584,954,57 ,58 ,58 ,58 ,59 ,59 
Micronesia (Fed. States of),583,954,109 ,110 ,111 ,113 ,114 ,115 
Nauru,520,954,10 ,10 ,11 ,11 ,11 ,11 
Northern Mariana Islands,580,954,56 ,56 ,57 ,57 ,57 ,58 
Palau,585,954,18 ,18 ,18 ,18 ,18 ,18 
American Samoa,16,957,56 ,56 ,56 ,55 ,55 ,55 
Cook Islands,184,957,18 ,18 ,18 ,18 ,18 ,18 
French Polynesia,258,957,273 ,275 ,276 ,278 ,279 ,281 
Niue,570,957,2 ,2 ,2 ,2 ,2 ,2 
Samoa,882,957,194 ,195 ,195 ,196 ,197 ,198 
Tokelau,772,957,1 ,1 ,1 ,1 ,1 ,1 
Tonga,776,957,101 ,101 ,102 ,103 ,104 ,106 
Tuvalu,798,957,11 ,11 ,11 ,12 ,12 ,12 
Wallis and Futuna Islands,876,957,12 ,12 ,12 ,12 ,11 ,11 
Belarus,112,923,9439 ,9446 ,9450 ,9453 ,9452 ,9449 
Bulgaria,100,923,7200 ,7152 ,7102 ,7052 ,7000 ,6948 
Czechia,203,923,10601 ,10619 ,10641 ,10666 ,10689 ,10709 
Hungary,348,923,9778 ,9753 ,9730 ,9708 ,9685 ,9660 
Poland,616,923,38034 ,37989 ,37953 ,37922 ,37888 ,37847 
Republic of Moldova,498,923,4071 ,4066 ,4060 ,4052 ,4043 ,4034 
Romania,642,923,19925 ,19796 ,19654 ,19506 ,19365 ,19238 
Russian Federation,643,923,144985 ,145275 ,145530 ,145734 ,145872 ,145934 
Slovakia,703,923,5436 ,5442 ,5448 ,5453 ,5457 ,5460 
Ukraine,804,923,44922 ,44714 ,44488 ,44246 ,43994 ,43734 
Channel Islands,830,924,165 ,167 ,169 ,170 ,172 ,174 
Denmark,208,924,5689 ,5711 ,5732 ,5752 ,5772 ,5792 
Estonia,233,924,1315 ,1317 ,1319 ,1323 ,1326 ,1327 
Faroe Islands,234,924,48 ,48 ,48 ,48 ,49 ,49 
Finland,246,924,5481 ,5498 ,5511 ,5523 ,5532 ,5541 
Iceland,352,924,330 ,332 ,334 ,337 ,339 ,341 
Ireland,372,924,4652 ,4696 ,4753 ,4819 ,4882 ,4938 
Isle of Man,833,924,83 ,83 ,84 ,84 ,85 ,85 
Latvia,428,924,1998 ,1974 ,1951 ,1928 ,1907 ,1886 
Lithuania,440,924,2932 ,2890 ,2845 ,2801 ,2760 ,2722 
