RegionID,SizeRank,RegionName,RegionType,StateName,31/01/2018,28/02/2018,31/03/2018,30/04/2018,31/05/2018,30/06/2018,31/07/2018,31/08/2018,30/09/2018,31/10/2018,30/11/2018,31/12/2018,31/01/2019,28/02/2019,31/03/2019,30/04/2019,31/05/2019,30/06/2019,31/07/2019,31/08/2019,30/09/2019,31/10/2019,30/11/2019,31/12/2019,31/01/2020,29/02/2020,31/03/2020,30/04/2020,31/05/2020,30/06/2020,31/07/2020,31/08/2020,30/09/2020,31/10/2020,30/11/2020,31/12/2020,31/01/2021,28/02/2021,31/03/2021,30/04/2021,31/05/2021,30/06/2021,31/07/2021,31/08/2021,30/09/2021,31/10/2021,30/11/2021,31/12/2021
394935,42,"Oklahoma City, OK",Msa,OK,235612,237633,242425,247597,252083,252772,252772,250025,248302,246555,246562,246538,248927,253688,262251,270779,277318,278722,276402,271884,268767,267054,267123,267123,268836,272774,278118,281543,286167,293188,298973,300343,296575,294044,291647,289879,288804,292183,299668,311600,315966,312633,304166,298166,294800,289580,289547,292913
394807,43,"Louisville-Jefferson County, KY",Msa,KY,232167,240467,254100,266567,274600,276633,274833,271500,267833,265967,262100,257100,254100,257267,266767,278400,287433,291233,289633,284633,277967,269600,259933,251967,248500,253133,264467,277933,289933,296567,299600,296900,288567,277900,263967,255667,252967,259600,269567,276930,283597,286627,285930,280963,272967,268333,263300,261600
394669,44,"Hartford, CT",Msa,CT,275299,279436,287951,293661,297388,297422,297422,297114,295405,293695,290584,288840,287130,289182,292635,299474,304261,310382,310382,310075,306347,302962,299850,297115,296089,296123,302244,310075,320333,328198,338456,345261,345261,341841,336746,333361,330520,332689,339900,349100,352433,347467,338300,330000,326667,324933,324933,329900
395022,45,"Richmond, VA",Msa,VA,298653,299653,307464,319191,326967,330329,330640,328398,323571,316709,312053,310295,310260,312002,320657,332743,344778,349605,350309,345171,338619,331036,327553,327441,329855,334918,341892,351203,360830,370864,378071,382364,380985,380096,380526,383980,387300,390967,394633,394650,392647,384980,378297,371933,369917,369897,371597,379293
394910,46,"New Orleans, LA",Msa,LA,245925,242592,243300,249633,257133,262167,263833,262967,260300,257267,253967,251633,249975,251642,256308,262967,269600,272400,272400,270433,269133,268167,267133,265267,262900,261900,264233,269267,276283,282633,288467,293483,296833,299000,299000,299000,297667,296187,296487,304487,314633,323833,325833,323833,321000,321000,324333,326333
394425,47,"Buffalo, NY",Msa,NY,184581,186374,193546,202512,209684,213270,215063,213844,212087,208501,204341,198926,195375,196485,200107,207244,215099,222092,225714,222128,218363,214382,210796,207532,204305,204305,207891,215063,225858,236832,244004,243968,240167,233028,225892,218755,215447,222890,234467,249100,255267,255267,248600,239900,233233,228267,224967,221633
395012,48,"Raleigh, NC",Msa,NC,357933,359633,366633,376632,383265,383265,381267,377633,374000,367333,362000,357333,355333,356000,362667,373333,383300,386633,383600,378600,375233,373233,368900,363900,360567,363233,369600,373359,378838,384172,393746,398647,402280,400947,397267,393633,393333,396833,402467,410487,416987,420966,423246,426579,428967,430300,431085,430748
394388,49,"Birmingham, AL",Msa,AL,206683,207217,215217,226800,236267,239600,239900,239900,238267,234633,231000,229300,229600,233233,239900,249900,258567,265233,270273,271640,272362,272123,272090,269735,266600,265800,267433,269100,273233,278100,282133,282000,277167,274133,272250,274533,275583,277600,278617,283267,286633,288333,284967,283300,283021,289021,292354,292633
395053,50,"Salt Lake City, UT",Msa,UT,417953,423208,431339,437395,444646,448700,450147,446698,441374,433870,429851,427707,428029,431924,439392,451898,462617,469621,467834,462510,457293,455507,456386,459995,466998,478610,487539,485896,482302,484815,495571,500966,500207,498385,503744,516250,,,,,,,,,,,,
395031,51,"Rochester, NY",Msa,NY,185799,193017,203339,215574,224633,228748,225175,217956,210738,205685,201318,201318,206696,218281,230949,244050,251088,253795,251522,246252,238096,227268,219725,212543,213373,222721,239066,256282,265305,270578,271332,271007,263464,255167,248273,254674,261988,274013,278263,278267,269600,259600,252800,244767,234767,223267,216633,210000
394640,52,"Grand Rapids, MI",Msa,MI,261633,269967,281667,291667,298300,299967,298300,293500,288467,285433,286900,288567,289900,292933,299267,307633,312933,313267,310933,305933,302300,296267,292933,289900,292933,297760,306093,313060,318233,319900,321267,321300,321300,317967,317933,319633,324967,333300,340933,347567,352792,358492,363492,362967,359633,354633,353267,358233
395167,53,"Tucson, AZ",Msa,AZ,261079,264446,269479,274997,279997,281330,281300,280967,282967,282967,281300,279467,279500,282333,288167,294767,298900,298233,296150,293350,293317,293467,294187,292520,292853,294933,298300,298967,300633,308966,319933,329967,328300,323333,319907,321573,326780,335173,348507,364963,376663,384963,384967,381633,375000,370000,367610,367277
